         Sample#               E               M           <eps>             <m>             C_V        Suscept.
           36800              -8              -4        -2.74112         1.37146       0.0299437        -2.03953
           36900              -8              -4        -2.73836         1.37007       0.0298628         -2.0299
           37000              -8              -4        -2.73563          1.3687       0.0297822        -2.02036
           37100              -8              -4        -2.73292         1.36734       0.0297021        -2.01091
           37200              -8              -4        -2.73022         1.36599       0.0296224        -2.00154
           37300              -8              -4        -2.72755         1.36465       0.0295431        -1.99225
           37400              -8              -4        -2.72489         1.36332       0.0294643        -1.98305
           37500              -8              -4        -2.72225           1.362       0.0293858        -1.97392
           37600              -8              -4        -2.71964         1.36069       0.0293078        -1.96488
           37700              -8              -4        -2.71697         1.35935       0.0296531        -1.95566
           37800              -8              -4        -2.71439         1.35806       0.0295748        -1.94678
           37900              -8              -4        -2.71183         1.35677       0.0294969        -1.93797
           38000              -8              -4        -2.70929          1.3555       0.0294194        -1.92924
           38100              -8              -4        -2.70676         1.35423       0.0293423        -1.92058
           38200              -8              -4        -2.70426         1.35298       0.0292656        -1.91199
           38300              -8              -4        -2.70177         1.35173       0.0291894        -1.90348
           38400              -8              -4         -2.6993         1.35049       0.0291135        -1.89504
           38500              -8              -4        -2.69684         1.34926        0.029038        -1.88668
           38600              -8              -4        -2.69441         1.34804       0.0289629        -1.87838
           38700              -8              -4        -2.69199         1.34683       0.0288882        -1.87015
           38800              -8              -4        -2.68958         1.34563       0.0288139        -1.86199
           38900              -8              -4         -2.6872         1.34443         0.02874         -1.8539
           39000              -8              -4        -2.68476         1.34322       0.0290752         -1.8458
           39100              -8              -4        -2.68241         1.34204        0.029001        -1.83784
           39200              -8              -4        -2.68007         1.34087       0.0289271        -1.82995
           39300              -8              -4        -2.67775         1.33971       0.0288536        -1.82212
           39400              -8              -4        -2.67544         1.33855       0.0287805        -1.81436
           39500              -8              -4        -2.67315         1.33741       0.0287078        -1.80666
           39600              -8              -4        -2.67088         1.33627       0.0286354        -1.79902
           39700              -8              -4        -2.66862         1.33513       0.0285634        -1.79145
           39800              -8              -4        -2.66638         1.33401       0.0284918        -1.78394
